z_hmm_model-Nietsdoen,z_hmm_model-Fietsen,z_hmm_model-Springen,z_hmm_model-Tandenpoetsen,z_hmm_model-Lopen,z_hmm_model-LiftAD,z_hmm_model-Trapaf,z_hmm_model-LiftAU,z_hmm_model-Wandelen,z_hmm_model-Trapop,label
3.593780672524256,-0.712393412136993,-3.5321433867484684,3.6102598867449056,-2.5844240225302193,2.743737777079719,-1.2425458025833929,2.8552425182402454,-0.6718915041968457,-0.28529916041894016,Tandenpoetsen
3.4528148796097207,-0.7125914521983961,-3.5322483643850293,3.461531149447874,-2.5844231493078373,2.7124299943781596,-1.2425788384127738,2.780793172790949,-0.6721322739115557,-0.28635727502710523,Tandenpoetsen
1.9840070868522433,-0.7194938806916106,-3.5345116862017463,2.234892724993046,-2.584717261158817,1.5306137365259156,-1.2438845524219229,1.367136221978152,-0.6779084856398419,-0.3114981430234457,Tandenpoetsen
1.73848436420029,-0.7208450465084603,-3.5345491224334866,2.078935460511591,-2.5848003160688133,1.4238390161614245,-1.2445238882560172,0.905374307693175,-0.6785131336121044,-0.3148275300523475,Tandenpoetsen
3.39382934795374,-0.712256981525203,-3.5329176539918627,3.4164697704451275,-2.5841661711494552,2.7140027453832434,-1.2417259955450686,2.7392954938763925,-0.6729157531531701,-0.2892538365945883,Tandenpoetsen
1.6935291979156863,-0.7201807576026218,-3.53823126524496,1.9030335977622412,-2.5841008293553562,1.5818692536763221,-1.2406094170901854,1.2425022354191493,-0.6831368952816249,-0.3308853813630591,Tandenpoetsen
0.2736819268184661,-0.7560078255794253,-3.5351772297906647,1.4165830681971134,-2.5893564586589792,2.255182461587861,-1.2645565169338857,2.241372981858255,-0.69527232183759,-0.3512534700037524,LiftAD
-4.904089894943907,-0.8190698704201225,-3.541774901010482,-0.44080298376699545,-2.5971596129187047,1.8555807042943298,-1.3162403469204949,1.4459708863033671,-0.7505423672634816,-0.4614101378788751,LiftAD
-3.766913193119331,-0.805430273011737,-3.5410018318484173,-0.001103021104332294,-2.5953067556137235,1.9992938122452137,-1.3064136228873748,1.6555413600047597,-0.7411880559297773,-0.43870448729496364,LiftAD
-3.9687432569418064,-0.8079261852330073,-3.5449671285317215,-0.010155374858198049,-2.5946853909881504,1.9893517346025869,-1.3025778771364074,1.6054978796365003,-0.7464118879204952,-0.4543247282918469,LiftAD
-2.106802028439022,-0.788585454291463,-3.530403446599401,0.3183796759822907,-2.5945214596445725,1.875573190794069,-1.2961343228698463,1.7951024561822133,-0.7104319836434292,-0.3902472868253015,LiftAD
-3.6218260455704163,-0.8036532718440592,-3.541053888849543,-0.03120790793809382,-2.595098770575576,1.9125612768191889,-1.3039809976408312,1.6376710159443397,-0.7393365785636554,-0.4436991453441108,LiftAD
-3.751931228246265,-0.8057299354465418,-3.541365149480899,-0.028957669132934117,-2.595283498943752,1.9402861993864677,-1.3056355910307036,1.6315331959154864,-0.7412570100616648,-0.44927144521668405,LiftAD
-0.44775776068726275,-0.7670879472066529,-3.530807226167596,0.9252217023320237,-2.591805124167022,2.0695304617550287,-1.2759665631078219,2.0986881726382953,-0.6949229203723213,-0.3539055494218422,LiftAD
-0.2161968742828397,-0.7635340898457725,-3.53506121250105,1.111286108013067,-2.590332740993503,2.129278830522424,-1.268790126790664,2.1195527145487767,-0.698285190985023,-0.3542648178556196,LiftAD
0.2184160643413308,-0.7576148750771045,-3.5350591047888535,1.1667158662839237,-2.5896649760636765,2.252436015787425,-1.2660465879299783,2.1765733098882203,-0.6962042795159857,-0.36004435348112446,LiftAD
-4.016373067794664,-0.8089103946907652,-3.541100090454482,-0.080841595893957,-2.59572161760307,1.8635884766911044,-1.3089416711670951,1.5024985008483907,-0.7434323338138215,-0.4500279593102182,LiftAD
-1.92575910732669,-0.7816289729467797,-3.5390581523635474,0.5084150828310016,-2.592004105397397,2.162908118263999,-1.2862618408455206,1.7633593285892293,-0.7211103564920459,-0.40628514925755377,LiftAD
-0.7256112347469499,-0.7695614652482646,-3.5344186194131852,0.8134894890471638,-2.591152419272401,2.0957475865947357,-1.2733272756129195,2.0996126679275484,-0.7005121754011622,-0.3581684518481994,LiftAD
-1.8323506104375569,-0.7797122064056743,-3.5389793246841514,0.6504994728068795,-2.591826937980586,2.2110960581840726,-1.285748277439294,1.7394090223064724,-0.7205635954785125,-0.40958209638289317,LiftAD
-0.6813239936133166,-0.7686061116525413,-3.534837058109736,0.9693473478439507,-2.591006799875728,2.0437328687255154,-1.2723895156775955,2.145814563940623,-0.7006244360456721,-0.3593442455030565,LiftAD
