trainingset,methode,folds,accuracy
Trainingset1,LibSVM_2,10,78.72340425531915
Trainingset1,DecisionTable_1,10,62.765957446808514
Trainingset1,J48_1,20,90.42553191489361
Trainingset1,J48_2A,20,90.42553191489361
Trainingset1,J48_2B,20,90.42553191489361
Trainingset1,J48_3,20,90.42553191489361
Trainingset1,NaiveBayes,20,82.97872340425532
Trainingset1,IBk_1,20,78.72340425531915
Trainingset1,IBk_2A,20,80.85106382978724
Trainingset1,IBk_2B,20,79.7872340425532
Trainingset1,LibSVM_1,20,85.1063829787234
Trainingset1,LibSVM_2,20,79.7872340425532
Trainingset1,DecisionTable_1,20,68.08510638297872
Trainingset10,J48_1,10,90.42553191489361
Trainingset10,J48_2A,10,90.42553191489361
Trainingset10,J48_2B,10,90.42553191489361
Trainingset10,J48_3,10,90.42553191489361
Trainingset10,NaiveBayes,10,81.91489361702128
Trainingset10,IBk_1,10,81.91489361702128
Trainingset10,IBk_2A,10,82.97872340425532
Trainingset10,IBk_2B,10,80.85106382978724
Trainingset10,LibSVM_1,10,82.97872340425532
Trainingset10,LibSVM_2,10,79.7872340425532
Trainingset10,DecisionTable_1,10,65.95744680851064
Trainingset10,J48_1,20,90.42553191489361
Trainingset10,J48_2A,20,90.42553191489361
Trainingset10,J48_2B,20,90.42553191489361
Trainingset10,J48_3,20,90.42553191489361
Trainingset10,NaiveBayes,20,82.97872340425532
Trainingset10,IBk_1,20,80.85106382978724
Trainingset10,IBk_2A,20,81.91489361702128
Trainingset10,IBk_2B,20,80.85106382978724
Trainingset10,LibSVM_1,20,85.1063829787234
Trainingset10,LibSVM_2,20,78.72340425531915
Trainingset10,DecisionTable_1,20,65.95744680851064
Trainingset6,J48_1,10,88.29787234042553
Trainingset6,J48_2A,10,88.29787234042553
Trainingset6,J48_2B,10,88.29787234042553
Trainingset6,J48_3,10,88.29787234042553
Trainingset6,NaiveBayes,10,85.1063829787234
Trainingset6,IBk_1,10,77.65957446808511
Trainingset6,IBk_2A,10,80.85106382978724
Trainingset6,IBk_2B,10,81.91489361702128
Trainingset6,LibSVM_1,10,85.1063829787234
Trainingset6,LibSVM_2,10,81.91489361702128
Trainingset6,DecisionTable_1,10,70.2127659574468
Trainingset6,J48_1,20,90.42553191489361
Trainingset6,J48_2A,20,90.42553191489361
Trainingset6,J48_2B,20,90.42553191489361
Trainingset6,J48_3,20,90.42553191489361
Trainingset6,NaiveBayes,20,82.97872340425532
Trainingset6,IBk_1,20,74.46808510638297
Trainingset6,IBk_2A,20,77.65957446808511
Trainingset6,IBk_2B,20,80.85106382978724
Trainingset6,LibSVM_1,20,84.04255319148936
Trainingset6,LibSVM_2,20,79.7872340425532
Trainingset6,DecisionTable_1,20,69.14893617021276
