z_hmm_model-Fietsen,z_hmm_model-LiftAD,z_hmm_model-LiftAU,z_hmm_model-Lopen,z_hmm_model-Nietsdoen,z_hmm_model-Springen,z_hmm_model-Tandenpoetsen,z_hmm_model-Trapaf,z_hmm_model-Trapop,z_hmm_model-Wandelen,label
-13.884416117597976,-10000,-10000,-2.6723345244364785,-10000,-3.4117480595730294,-10000,-13.414207173098696,-13.481952620271391,-4.854513921443042,Lopen
-47.01140120790404,-10000,-10000,-2.868287938041743,-10000,-3.868660669196987,-10000,-42.416654262593866,-38.65466530108834,-20.13745418106965,Lopen
-29.304706185041944,-10000,-10000,-2.5989551042012975,-10000,-3.249515199763067,-10000,-25.881438388604316,-31.28318476264676,-12.040110696358525,Lopen
-14.013832957235591,-10000,-10000,-2.7074705092598266,-10000,-3.450598034132466,-10000,-12.982431877794388,-13.928984540867853,-5.153987605254763,Lopen
-20.012674716397758,-10000,-10000,-2.588692519445897,-10000,-3.103695983111689,-10000,-17.653083401775977,-19.504243782435374,-7.235359505600586,Lopen
-22.364609621361858,-10000,-10000,-2.8076284111767915,-10000,-4.519165396290368,-10000,-22.34030028455427,-17.191649308974046,-8.039189514887594,Lopen
-17.189185449703462,-10000,-10000,-2.5648470817276614,-10000,-3.399390186782928,-10000,-15.34314722284824,-16.539972319918586,-5.837064190879884,Lopen
-10.865881836037376,-10000,-10000,-2.6973085910081926,-10000,-2.9225451881455538,-10000,-8.972110251053804,-12.38362189947645,-4.400458107248573,Lopen
-20.617802450790215,-10000,-10000,-2.6328183001465364,-10000,-3.9175548073572157,-10000,-20.029654946106582,-18.86055723619793,-6.857993249838759,Lopen
-34.16771645467466,-10000,-10000,-2.700117034664337,-10000,-3.99588881233029,-10000,-29.369060543983387,-31.725977348690915,-13.993856586425956,Lopen
-30.789225725282513,-10000,-10000,-2.7556481373278485,-10000,-4.179851655742498,-10000,-27.4918810966636,-29.203289835660787,-11.968285524853224,Lopen
-39.35010465776519,-10000,-10000,-2.713039054170493,-10000,-3.575187047235815,-10000,-35.893570400169686,-35.283984143926986,-16.397464256574956,Lopen
