x y z
4 0.55 0.7142857143
4 0.7 0.7389162562
4 0.6 0.7389162562
4 0.65 0.7438423645
4 0.75 0.7536945813
4 0.8 0.7931034483
4 0.85 0.8078817734
4.5 0 0.645320197
4.5 0.3 0.6699507389
4.5 0.4 0.6798029557
4.5 0.55 0.6798029557
4.5 0.35 0.684729064
4.5 0.25 0.6995073892
4.5 0.45 0.7044334975
4.5 0.7 0.7044334975
4.5 0.6 0.7192118227
4.5 0.2 0.724137931
4.5 0.65 0.7586206897
4.5 0.8 0.7684729064
4.5 0.85 0.7931034483
4.5 0.5 0.7980295567
4.5 0.75 0.8226600985
5 0.2 0.5960591133
5 0.35 0.6108374384
5 0.25 0.645320197
5 0.45 0.6699507389
5 0.3 0.6748768473
5 0.4 0.6798029557
5 0 0.6945812808
5 0.6 0.7192118227
5 0.65 0.7487684729
5 0.55 0.7684729064
5 0.7 0.7783251232
5 0.5 0.7931034483
5 0.8 0.7980295567
5 0.75 0.8325123153
5 0.85 0.8719211823
5.5 0 0.60591133
5.5 0.2 0.6256157635
5.5 0.5 0.724137931
5.5 0.4 0.7339901478
5.5 0.45 0.7487684729
5.5 0.25 0.7487684729
5.5 0.6 0.763546798
5.5 0.35 0.7733990148
5.5 0.7 0.7783251232
5.5 0.55 0.7832512315
5.5 0.3 0.8177339901
5.5 0.8 0.8177339901
5.5 0.75 0.8325123153
5.5 0.65 0.842364532
5.5 0.85 0.8522167488
6 0 0.6896551724
6 0.2 0.7142857143
6 0.35 0.7586206897
6 0.25 0.763546798
6 0.4 0.7931034483
6 0.55 0.802955665
6 0.5 0.8128078818
6 0.45 0.8128078818
6 0.3 0.842364532
6 0.75 0.8472906404
6 0.6 0.8669950739
6 0.7 0.8669950739
6 0.85 0.8719211823
6 0.65 0.9064039409
6 0.8 0.921182266
6.5 0.45 0.6748768473
6.5 0.25 0.724137931
6.5 0.2 0.7290640394
6.5 0.75 0.7586206897
6.5 0 0.7586206897
6.5 0.3 0.763546798
6.5 0.35 0.7684729064
6.5 0.6 0.7881773399
6.5 0.4 0.7931034483
6.5 0.5 0.8078817734
6.5 0.85 0.8177339901
6.5 0.55 0.8226600985
6.5 0.8 0.8325123153
6.5 0.7 0.842364532
6.5 0.65 0.8571428571
7 0.45 0.724137931
7 0.35 0.7389162562
7 0 0.7536945813
7 0.2 0.7536945813
7 0.5 0.7733990148
7 0.3 0.7783251232
7 0.25 0.7881773399
7 0.75 0.7931034483
7 0.4 0.7980295567
7 0.6 0.8177339901
7 0.85 0.8374384236
7 0.8 0.842364532
7 0.55 0.8472906404
7 0.65 0.8522167488
7 0.7 0.8620689655
7.5 0 0.6305418719
7.5 0.35 0.7438423645
7.5 0.45 0.7487684729
7.5 0.25 0.7733990148
7.5 0.3 0.7733990148
7.5 0.5 0.7733990148
7.5 0.8 0.7881773399
7.5 0.2 0.7980295567
7.5 0.65 0.8078817734
7.5 0.4 0.8128078818
7.5 0.6 0.8275862069
7.5 0.85 0.8325123153
7.5 0.75 0.8374384236
7.5 0.55 0.8768472906
7.5 0.7 0.8866995074
